,name,url,area_genre,rating,holiday,dinner_price,lunch_price
33,GRANNY SMITH  APPLE PIE & COFFEE 青山店,https://tabelog.com/tw/tokyo/A1306/A130602/13160850/,"表參道車站 / 西式甜點, 咖啡店, 甜食",3.61,-,"JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999"
34,重盛永信堂,https://tabelog.com/tw/tokyo/A1302/A130204/13003054/,"水天宮前車站 / 日式點心, 日式甜點店",3.61,"星期日, 節假日", - JPY 999, - JPY 999
35,TSUBASA COFFEE,https://tabelog.com/tw/tokyo/A1304/A130402/13259936/,"新宿御苑前車站 / 咖啡店, 甜食",3.61,-, - JPY 999, - JPY 999
36,サニーヒルズ,https://tabelog.com/tw/tokyo/A1306/A130602/13163569/,"表參道車站 / 中式點心, 甜食, 蛋糕",3.61,-,"JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999"
37,レインボーパンケーキ,https://tabelog.com/tw/tokyo/A1306/A130601/13131895/,"明治神宮前車站 / 鬆餅, 刨冰",3.61,-,"JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999"
38,ボンジュール・ボン 中野店,https://tabelog.com/tw/tokyo/A1319/A131902/13046441/,"中野車站 / 麵包, 西式甜點",3.61,-, - JPY 999, - JPY 999
39,カフェ木村家,https://tabelog.com/tw/tokyo/A1301/A130101/13023059/,"銀座車站 / 咖啡店, 麵包, 蛋糕",3.61,-,"JPY 2,000 - JPY 2,999","JPY 2,000 - JPY 2,999"
40,吉祥寺 多奈加亭,https://tabelog.com/tw/tokyo/A1320/A132001/13005806/,"吉祥寺車站 / 咖啡店, 咖啡館, 蛋糕",3.61,-,"JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999"
41,Patisserie TEN & 日比谷okuroji店,https://tabelog.com/tw/tokyo/A1301/A130103/13252336/,"日比谷車站 / 西式甜點, 泡芙, 咖啡店",3.61,星期三,"JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999"
42,ミニマル ザ ベイキング 代々木上原店,https://tabelog.com/tw/tokyo/A1318/A131811/13235774/,"代代木上原車站 / 巧克力, 蛋糕, 咖啡店",3.61,-,"JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999"
43,四ツ谷一餅堂,https://tabelog.com/tw/tokyo/A1309/A130902/13252086/,"四谷車站 / 甜食, 台灣料理, 咖啡店",3.61,"星期一, 星期四, 星期日",-,"JPY 1,000 - JPY 1,999"
44,ビスキュイ,https://tabelog.com/tw/tokyo/A1324/A132403/13009592/,"新柴又車站 / 蛋糕, 年輪蛋糕",3.61,星期二, - JPY 999,-
45,エシレ・ラトリエ デュ ブール,https://tabelog.com/tw/tokyo/A1307/A130704/13291710/,"神谷町車站 / 麵包, 西式甜點, 蛋糕",3.61,-,"JPY 3,000 - JPY 3,999","JPY 3,000 - JPY 3,999"
46,Daily's muffin 蔵前店,https://tabelog.com/tw/tokyo/A1311/A131103/13164060/,藏前車站 / 西式甜點,3.61,"星期一, 星期日","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999"
47,アンモナイトコーヒーマーケット 本郷店,https://tabelog.com/tw/tokyo/A1310/A131004/13176690/,"本鄉三丁目車站 / 咖啡店, 甜食",3.61,-, - JPY 999, - JPY 999
